Series ID,Year,Period,Label,Value
LASST190000000000003,2015,M01,2015 Jan,3.9
LASST190000000000003,2015,M02,2015 Feb,3.8
LASST190000000000003,2015,M03,2015 Mar,3.8
LASST190000000000003,2015,M04,2015 Apr,3.8
LASST190000000000003,2015,M05,2015 May,3.7
LASST190000000000003,2015,M06,2015 Jun,3.7
LASST190000000000003,2015,M07,2015 Jul,3.6
LASST190000000000003,2015,M08,2015 Aug,3.6
LASST190000000000003,2015,M09,2015 Sep,3.6
LASST190000000000003,2015,M10,2015 Oct,3.6
LASST190000000000003,2015,M11,2015 Nov,3.6
LASST190000000000003,2015,M12,2015 Dec,3.6
LASST190000000000003,2016,M01,2016 Jan,3.6
LASST190000000000003,2016,M02,2016 Feb,3.6
LASST190000000000003,2016,M03,2016 Mar,3.6
LASST190000000000003,2016,M04,2016 Apr,3.6
LASST190000000000003,2016,M05,2016 May,3.6
LASST190000000000003,2016,M06,2016 Jun,3.7
LASST190000000000003,2016,M07,2016 Jul,3.6
LASST190000000000003,2016,M08,2016 Aug,3.6
LASST190000000000003,2016,M09,2016 Sep,3.6
LASST190000000000003,2016,M10,2016 Oct,3.5
LASST190000000000003,2016,M11,2016 Nov,3.5
LASST190000000000003,2016,M12,2016 Dec,3.4
LASST190000000000003,2017,M01,2017 Jan,3.3
LASST190000000000003,2017,M02,2017 Feb,3.2
LASST190000000000003,2017,M03,2017 Mar,3.2
LASST190000000000003,2017,M04,2017 Apr,3.1
LASST190000000000003,2017,M05,2017 May,3.1
LASST190000000000003,2017,M06,2017 Jun,3.1
LASST190000000000003,2017,M07,2017 Jul,3.1
LASST190000000000003,2017,M08,2017 Aug,3.0
LASST190000000000003,2017,M09,2017 Sep,3.0
LASST190000000000003,2017,M10,2017 Oct,2.9
LASST190000000000003,2017,M11,2017 Nov,2.9
LASST190000000000003,2017,M12,2017 Dec,2.8
LASST190000000000003,2018,M01,2018 Jan,2.8
LASST190000000000003,2018,M02,2018 Feb,2.7
LASST190000000000003,2018,M03,2018 Mar,2.6
LASST190000000000003,2018,M04,2018 Apr,2.6
LASST190000000000003,2018,M05,2018 May,2.5
LASST190000000000003,2018,M06,2018 Jun,2.5
LASST190000000000003,2018,M07,2018 Jul,2.5
LASST190000000000003,2018,M08,2018 Aug,2.5
LASST190000000000003,2018,M09,2018 Sep,2.5
LASST190000000000003,2018,M10,2018 Oct,2.5
LASST190000000000003,2018,M11,2018 Nov,2.6
