Series ID,Year,Period,Label,Value
LASST350000000000003,2015,M01,2015 Jan,6.5
LASST350000000000003,2015,M02,2015 Feb,6.6
LASST350000000000003,2015,M03,2015 Mar,6.7
LASST350000000000003,2015,M04,2015 Apr,6.7
LASST350000000000003,2015,M05,2015 May,6.7
LASST350000000000003,2015,M06,2015 Jun,6.7
LASST350000000000003,2015,M07,2015 Jul,6.6
LASST350000000000003,2015,M08,2015 Aug,6.6
LASST350000000000003,2015,M09,2015 Sep,6.6
LASST350000000000003,2015,M10,2015 Oct,6.5
LASST350000000000003,2015,M11,2015 Nov,6.5
LASST350000000000003,2015,M12,2015 Dec,6.5
LASST350000000000003,2016,M01,2016 Jan,6.5
LASST350000000000003,2016,M02,2016 Feb,6.5
LASST350000000000003,2016,M03,2016 Mar,6.6
LASST350000000000003,2016,M04,2016 Apr,6.6
LASST350000000000003,2016,M05,2016 May,6.7
LASST350000000000003,2016,M06,2016 Jun,6.8
LASST350000000000003,2016,M07,2016 Jul,6.9
LASST350000000000003,2016,M08,2016 Aug,6.9
LASST350000000000003,2016,M09,2016 Sep,6.9
LASST350000000000003,2016,M10,2016 Oct,6.9
LASST350000000000003,2016,M11,2016 Nov,6.9
LASST350000000000003,2016,M12,2016 Dec,6.8
LASST350000000000003,2017,M01,2017 Jan,6.7
LASST350000000000003,2017,M02,2017 Feb,6.6
LASST350000000000003,2017,M03,2017 Mar,6.5
LASST350000000000003,2017,M04,2017 Apr,6.4
LASST350000000000003,2017,M05,2017 May,6.2
LASST350000000000003,2017,M06,2017 Jun,6.1
LASST350000000000003,2017,M07,2017 Jul,6.0
LASST350000000000003,2017,M08,2017 Aug,5.8
LASST350000000000003,2017,M09,2017 Sep,5.7
LASST350000000000003,2017,M10,2017 Oct,5.6
LASST350000000000003,2017,M11,2017 Nov,5.5
LASST350000000000003,2017,M12,2017 Dec,5.4
LASST350000000000003,2018,M01,2018 Jan,5.2
LASST350000000000003,2018,M02,2018 Feb,5.1
LASST350000000000003,2018,M03,2018 Mar,4.9
LASST350000000000003,2018,M04,2018 Apr,4.8
LASST350000000000003,2018,M05,2018 May,4.7
LASST350000000000003,2018,M06,2018 Jun,4.7
LASST350000000000003,2018,M07,2018 Jul,4.7
LASST350000000000003,2018,M08,2018 Aug,4.8
LASST350000000000003,2018,M09,2018 Sep,4.9
LASST350000000000003,2018,M10,2018 Oct,5.0
LASST350000000000003,2018,M11,2018 Nov,5.1
LASST350000000000003,2018,M12,2018 Dec,5.2
LASST350000000000003,2019,M01,2019 Jan,5.1
LASST350000000000003,2019,M02,2019 Feb,5.1
LASST350000000000003,2019,M03,2019 Mar,5.0
LASST350000000000003,2019,M04,2019 Apr,5.0
LASST350000000000003,2019,M05,2019 May,4.9
LASST350000000000003,2019,M06,2019 Jun,4.9
LASST350000000000003,2019,M07,2019 Jul,4.9
LASST350000000000003,2019,M08,2019 Aug,4.9
LASST350000000000003,2019,M09,2019 Sep,4.9
LASST350000000000003,2019,M10,2019 Oct,4.9
LASST350000000000003,2019,M11,2019 Nov,4.9
LASST350000000000003,2019,M12,2019 Dec,5.0
LASST350000000000003,2020,M01,2020 Jan,5.1
LASST350000000000003,2020,M02,2020 Feb,5.3
LASST350000000000003,2020,M03,2020 Mar,5.9
LASST350000000000003,2020,M04,2020 Apr,9.0
LASST350000000000003,2020,M05,2020 May,9.3
LASST350000000000003,2020,M06,2020 Jun,9.0
LASST350000000000003,2020,M07,2020 Jul,9.0
LASST350000000000003,2020,M08,2020 Aug,8.6
LASST350000000000003,2020,M09,2020 Sep,8.7
LASST350000000000003,2020,M10,2020 Oct,8.4
LASST350000000000003,2020,M11,2020 Nov,8.4
LASST350000000000003,2020,M12,2020 Dec,8.4
LASST350000000000003,2021,M01,2021 Jan,8.2
LASST350000000000003,2021,M02,2021 Feb,8.2
LASST350000000000003,2021,M03,2021 Mar,8.0
